text	provenance	convention	old	new
This includes all sorts of active memory regions like code segment containing (mostly) program instructions (and occasionally constants), data segment (both initialized and uninitialized),heap memory, call stack, plus memory required to hold any additional data structures, such as symbol tables, debugging data structures, open files, shared libraries mapped to the current process, etc., that the program ever needs while executing and will be loaded at least once during the entire run. 	efficiency	industrial	0	1
The software metrics that use speed as a factor are important to managers who want software delivered as fast as possible. 	efficiency	industrial	0	1
Gucci Mane Focuses On Recovery To Find New Music SuccessI was inspired and amazed to read this incredible artist’s story.	HuffPost_News	renown	0	1
I On Exceptional Living: Nikki Haskell's Newest Project -- Flashback To The FutureNikki's newest project, Flashback To The Future, will incorporate classic footage with new interviews, parties, and fabulous fun. She's on a mission to make old things new and take us all along for the journey. How will she do it?	HuffPost_News	renown	0	1
Why Marketing and Sales Are Inseparable?Your content marketing will attract customers seeking to solve the problems you are best at solving. When that happens, your sales efforts will be about determining if you can help, not convincing them of your talents.	HuffPost_News	market	0	1
Global Drug Spending To Hit $1.4 Trillion In 2020A bunch of new drugs targeting cancer and autoimmune diseases are about to hit the market.	HuffPost_News	civic	0	1
Public Cynicism Enables Costly Political HypocrisyThe political hypocrisy of crony capitalism –  touting market capitalism while making taxpayers fund corporate welfare – is	HuffPost_News	civic	0	1
How to Market Your Business While Traveling the WorldI was recently on an amazing cruise with my wife in the Caribbean. During this time, I was forced to work on cruise Wi-Fi as well as internet hotspots. I was able to live the life I wanted while traveling the world... all while marketing my company online. It actually grew ten percent while I was gone.	HuffPost_News	market	0	1
"Togo Burger By Seulbi Kim Rethinks Fast Food Packaging (PHOTO)One look at a creation by Seulbi Kim, a student of industrial design at Rhode Island School of Design, and we're smacking our heads thinking, ""Why didn't we think of that?"""	HuffPost_News	inspired	0	1
New EPA Rules Will Aim To Cut Methane Emissions By 40 PercentThe regulations on methane are one part of the Obama administration's strategy to curb greenhouse gases and combat climate change.	HuffPost_News	green	1	1
Dawn The Fox Wags Her Tail (VIDEO)Disclaimer: Foxes are wild animals and should never be approached as domesticated pets, despite the benevolent disposition	HuffPost_News	green	1	1
13 Important Questions About Criminal Justice We Can’t AnswerA few weeks ago, the White House trumpeted the progress of its Police Data Initiative. The nearly one-year-old project prods	HuffPost_News	civic	0	1
"George Takei Slams Virginia Mayor Who Wants To Ban Refugees""[You] hold a position of authority and power, but you demonstrably have failed to learn the most basic of American civics or history lessons."""	HuffPost_News	civic	0	1
After 'Black Panther,' Will Hollywood Finally Admit That Black Films Can Travel?The worldwide success of the Marvel film calls into question how we think of black-led films and markets abroad.	HuffPost_News	civic	0	1
3 Challenges for Engineering in K-12An engineering curriculum is often thought of as a separate subject, but it doesn't have to be. The reality is that engineers may need psychologists, artists and writers to complement their skills and deliver a project.	HuffPost_News	project	0	1
How Technology Can Fight the FluWhether the 2013-14 flu season will be as severe as the previous year remains to be seen. What we do know is that civic app developers in cities across the country will be better equipped than before the help mitigate the problem by leveraging a new standard for data on flu shot locations.	HuffPost_News	civic	0	1
Go Green: Underwear and All (PHOTOS)This spring, green is in. Like a St. Patrick's Day hangover, this color is proving that it has staying power. Green underwear seems to be popping up faster than the budding cherry blossoms.	HuffPost_News	green	1	0
10 Ways to Eat CleanWhen the seasons change, I get inspired to take a close look at my eating habits and simplify my diet by eating the things that really make my body feel best. Here are 10 healthy eating habits I am focusing on right now to detox my diet.	HuffPost_News	green	1	1
Russian Street Artist Nikita Nomerz' 'Living Faces' (PHOTOS)Nomerz' industrial makeovers go beyond the typical street art creations. Instead of merely using the buildings as a canvas	HuffPost_News	inspired	0	1
"A Handy Guide to Making Your Home Energy EfficientA famous frog once crooned: ""It's not easy being green,"" but I beg to differ."	HuffPost_News	green	1	1
Do Home Buyers Need a Pre-Approval?With bargaining power shifting from home buyers to sellers in an increasing number of local markets, buyers in competition with other buyers are looking for any edge they can get. One possible edge is a pre-approval letter (henceforth PAL) from a lender.	HuffPost_News	market	0	1
Love Letters: RomeWalking home, the air grew cooler and softer, sweetened by flower markets on every corner. People greeted me, buena sera	HuffPost_News	green	1	1
"Food And Medication Interactions: Grapefruit Isn't The Only One""The number of drugs on the market with the potential to produce serious adverse and in many cases life-threatening effects"	HuffPost_News	civic	0	1
The Real View of Free Formula Samples -- Open Your EyesCommercial marketing doesn't belong in hospitals. No matter how you feed your babies.	HuffPost_News	market	0	1
Country Living's Sarah Gray Miller Shares Expert Flea Market Shopping TipsWe're getting ready for flea market season here. And, we're excited that the Country Living Fair, is kicking it off this	HuffPost_News	green	1	1
"Domestic Violence Still Not Grounds For Divorce In MississippiA Republican lawmaker said a bill allowing domestic violence as a legal reason for divorce would open ""the floodgates."""	HuffPost_News	domestic	0	1
Why A Giant Green Lake Turned Blood-RedThe salty waters of Iran’s Lake Urmia recently morphed from a deep green to a rich red, likely due to algae and bacteria blooms.	HuffPost_News	green	1	1
EIA: China's Blood Ivory Carving FactoriesFrom the '80s poaching crisis to the current poaching crisis, some of the players have changed, new markets have emerged, but there are many lessons from the past that we can learn from.  And we must. Because if we do not take the lessons of the past, we are doomed to repeat.	HuffPost_News	civic	0	1
Why I Chose to Avoid Non-Stick CookwareSo if you've been inspired like I was to stay away from non-stick coated cookware (and bakeware), here are some great PTFE-free alternatives to help you choose the best cookware for your home:	HuffPost_News	green	1	1
Roasted Asparagus Market SaladServe this roasted asparagus market salad with ginger soy salmon, a bacon and sun dried tomato quiche, or with a simple ginger and parsnip soup.	HuffPost_News	inspired	0	1
Great Conversations: Paul VerhoevenThe manic energy that Verhoeven is renowned for was evident throughout our chat, and was infectious. By the time our all-too-brief lunch was over, I found myself waving my hands while I spoke in rapid clips, and using more bounce than usual in my stride.	HuffPost_News	renown	0	1
The Three Imperatives of Authentic BrandingMore and more people are seeking out brands with authentic stories. Brands with authentic stories should live and leverage those stories. Brand without those stories can't make them up. (In the information age truth will out.) Instead, they should build them -- not as marketing gimmicks, but as part of their brand essence and organizational culture.	HuffPost_News	market	0	1
Tips To Find Great Stuff At A Flea MarketIf you're not a seasoned shopper, flea markets can be difficult places to navigate. But there are a lot of ways to ensure	HuffPost_News	green	1	1
3 Anxiety-Provoking Situations -- And How To DealAndy Puddicombe is a former Buddhist monk and the founder of Headspace, a project to make meditation accessible to busy people	HuffPost_News	civic	0	1
What I Want My Son to Know About LoveIt made me realize that there's a lot to learn about love, more than paper hearts, candy, and silly marketing, and that there's also a lot to teach my kids. Here's what I want my son to know about love.	HuffPost_News	domestic	0	1
Don't Be Fooled By The Noise. Senate Republicans Aren't Making Their Health Care Bill Better.It's still all about cutting taxes, slashing Medicaid and returning junk insurance to the market.	HuffPost_News	civic	0	1
Center For Public Integrity Lays Off Two Reporters Amid RestructuringThe cutbacks come on the heels of the Center's international investigative project scoring major scoop with the Panama Papers.	HuffPost_News	civic	0	1
Pensions at a Glance -- Compare Your CountryWhat percentage of GDP is spent on pensions? At what age are people exiting the labor market? What is the poverty rate for those over 65?	HuffPost_News	civic	0	1
Flavonoids, Antioxidants Found In Citrus, Tied With Lower Stroke Risk: StudyPast research has shown that flavonoids -- which are also found in leafy greens and yellow, orange and red-colored fruits	HuffPost_News	civic	0	1
Alaska Air Nears Deal To Acquire Virgin AmericaAlaska Air is expected to pay upwards of $2 billion for Virgin America, which currently has a market value of about $1.5 billion.	HuffPost_News	market	0	1
Finally, in order to be able to handle heterogeneous datasets with a large number of predicates, a mechanism for automatically determining predicate comparability is proposed.	Semantic Scholar	industrial	0	1
Hardware-oriented optimizations and modifications to this algorithm are proposed and discussed.	Semantic Scholar	industrial	0	1
While new searching methods have become increasingly popular and reliable in recent years, such as image-based searching, these methods may be more limited than text-based means in that they do not allow generic user input.	Semantic Scholar	inspired	0	1
Integrating tactile sensors into robotic applications is still a challenge because of sensor interconnection and various form factors.	Semantic Scholar	inspired	0	1
